,Unnamed: 0,village_name,district_name,population,covid_positive,schools,max_school_students,max_school_name
0,0,Ábelová,Lučenec,196,0,0,,
1,1,Abovce,Rimavská Sobota,626,0,0,,
2,2,Abrahám,Galanta,1055,0,0,,
3,3,Abrahámovce,Kežmarok,269,0,0,,
4,4,Abrahámovce,Bardejov,341,0,0,,
5,5,Abramová,Turčianske Teplice,177,0,0,,
6,6,Abranovce,Prešov,696,0,0,,
7,7,Adamovské Kochanovce,Trenčín,888,0,0,,
8,8,Adidovce,Humenné,221,0,0,,
9,9,Albínov,Trebišov,164,0,0,,
10,10,Alekšince,Nitra,1669,0,0,,
11,11,Andovce,Nové Zámky,1579,0,0,,
12,12,Andrejová,Bardejov,366,0,0,,
13,13,Ardanovce,Topoľčany,207,0,0,,
14,14,Ardovo,Rožňava,163,0,0,,
15,15,Arnutovce,Spišská Nová Ves,809,2,0,,
16,16,Báb,Nitra,1115,3,0,,
17,17,Babie,Vranov nad Topľou,236,0,0,,
18,18,Babín,Námestovo,1442,9,0,,
19,19,Babiná,Zvolen,550,0,0,,
20,20,Babindol,Nitra,808,0,0,,
21,21,Babinec,Rimavská Sobota,60,0,0,,
22,22,Bacúch,Brezno,911,0,0,,
23,23,Bacúrov,Zvolen,165,0,0,,
24,24,Báč,Dunajská Streda,551,0,0,,
25,25,Bačka,Trebišov,638,0,0,,
26,26,Bačkov,Trebišov,719,1,1,,
27,27,Bačkovík,Košice-okolie,585,2,0,,
28,28,Baďan,Banská Štiavnica,172,0,0,,
29,29,Bádice,Nitra,376,0,0,,
30,30,Badín,Banská Bystrica,2028,2,0,,
31,31,Báhoň,Pezinok,1856,2,0,,
32,32,Bajany,Michalovce,466,0,0,,
33,33,Bajč,Komárno,1222,2,0,,
34,34,Bajerov,Prešov,439,1,0,,
35,35,Bajerovce,Sabinov,290,3,0,,
36,36,Bajka,Levice,330,0,0,,
37,37,Bajtava,Nové Zámky,401,0,0,,
38,38,Baka,Dunajská Streda,1095,0,0,,
