,Unnamed: 0,village_name,district_name,population,covid_positive,schools,max_school_students,max_school_name,positive_ratio,pos_ratio_c,vytazenost_okresu_c,population_weight_c,vytazenost_okresu_c__,population_weight_c__,pos_ratio_c__,final_coeff
2487,2487,Trebišov,Trebišov,24649,62,10,528,"Cirk. SOŠ sv.J. - Trebišov, Komenského",0.0025153150229218226,0.0025153150229218226,0.66875,1.0,1.0,1.0,0.046571438757734354,2.0465714387577343
2128,2128,Sečovce,Trebišov,8542,14,6,,,0.001638960430812456,0.001638960430812456,0.66875,0.8542,1.0,0.8542,0.030345600703830626,1.8845456007038306
2678,2678,Veľký Krtíš,Veľký Krtíš,11755,8,0,,,0.0006805614632071459,0.0006805614632071459,0.5533333333,1.0,0.8274143301682244,1.0,0.01260069860665352,1.840015028774878
57,57,Bardejov,Bardejov,32293,165,12,543,"Gym. - Bardejov, Jiráskova",0.005109466447836992,0.005109466447836992,0.4584615385,1.0,0.6855499641121495,1.0,0.09460254544328492,1.7801525095554345
1147,1147,Kráľovský Chlmec,Trebišov,7426,3,0,,,0.00040398599515216807,0.00040398599515216807,0.66875,0.7426,1.0,0.7426,0.007479861910241657,1.7500798619102416
2554,2554,Tvrdošín,Tvrdošín,9201,76,4,196,"SOŠ lesnícka - Tvrdošín, Medvedzie",0.008259971742201935,0.008259971742201935,0.4284444444,0.9201,0.6406645897570095,0.9201,0.15293462831773885,1.7136992180747483
456,456,Dolný Kubín,Dolný Kubín,18665,71,0,,,0.0038039110634878115,0.0038039110634878115,0.4284444444,1.0,0.6406645897570095,1.0,0.07042998969063796,1.7110945794476475
1580,1580,Námestovo,Námestovo,7784,98,7,827,"Gym. A. Bernoláka - Námestovo, Mieru",0.012589928057553957,0.012589928057553957,0.4284444444,0.7784,0.6406645897570095,0.7784,0.23310442555046873,1.6521690153074782
2920,2920,Žiar nad Hronom,Žiar nad Hronom,18852,31,0,,,0.001644387863356673,0.001644387863356673,0.392,1.0,0.5861682242990655,1.0,0.030446090439725067,1.6166143147387904
1954,1954,Prievidza,Prievidza,45634,66,13,885,"Gym.V.B.Nedožerského - Prievidza, Matice slovenskej",0.0014462900468948591,0.0014462900468948591,0.3862559242,1.0,0.5775789520747664,1.0,0.026778279353113908,1.6043572314278804
