,Okres,Počet obyvateľov v okrese,Navrhovaný počet odberových miest pre okres,Kapacita testov za deň pre okres,Kapacita testov za týždeň pre okres,Obec,Navrhované odberové miesto,Počet obyvateľov,Navrhovaný počet odberových jednotiek pre obec,Kapacita testov za deň pre obec,Kapacita testov za týždeň pre obec
0,Banská Bystrica,131187.0,25.0,7500.0,52500.0,,,,,,
1,,,,,,Banská Bystrica,"ZŠ - B.Bystrica, Spojová",79368.0,17.0,5100.0,35700.0
2,,,,,,Senica,"Materská škola - Senica, L.Novomeského",20318.0,4.0,1200.0,8400.0
3,,,,,,Senica,"Materská škola - Senica, L.Novomeského",20318.0,4.0,1200.0,8400.0
4,Banská Štiavnica,17409.0,3.0,900.0,6300.0,,,,,,
5,,,,,,Banská Štiavnica,"ZŠ - B.Štiavnica, P.Dobšinského",10259.0,3.0,900.0,6300.0
6,Bardejov,82112.0,16.0,4800.0,33600.0,,,,,,
7,,,,,,Bardejov,"ZŠ - Bardejov, Komenského",33296.0,16.0,4800.0,33600.0
8,Bratislava I,38823.0,8.0,2400.0,16800.0,,,,,,
9,,,,,,Bratislava - Staré Mesto,Nechávame na uvážení okresu,38823.0,8.0,2400.0,16800.0
10,Bratislava II,111051.0,22.0,6600.0,46200.0,,,,,,
11,,,,,,Bratislava - Podunajské Biskupice,Nechávame na uvážení okresu,21289.0,4.0,1200.0,8400.0
12,,,,,,Bratislava - Ružinov,Nechávame na uvážení okresu,70098.0,14.0,4200.0,29400.0
13,,,,,,Bratislava - Vrakuňa,Nechávame na uvážení okresu,19664.0,4.0,1200.0,8400.0
14,Bratislava III,62546.0,12.0,3600.0,25200.0,,,,,,
15,,,,,,Bratislava - Nové Mesto,Nechávame na uvážení okresu,36914.0,7.0,2100.0,14700.0
16,,,,,,Bratislava - Rača,Nechávame na uvážení okresu,20251.0,4.0,1200.0,8400.0
17,,,,,,Bratislava - Vajnory,Nechávame na uvážení okresu,5381.0,1.0,300.0,2100.0
18,Bratislava IV,93948.0,18.0,5400.0,37800.0,,,,,,
19,,,,,,Bratislava - Devínska Nová Ves,Nechávame na uvážení okresu,15881.0,3.0,900.0,6300.0
20,,,,,,Bratislava - Dúbravka,Nechávame na uvážení okresu,32891.0,7.0,2100.0,14700.0
21,,,,,,Bratislava - Karlova Ves,Nechávame na uvážení okresu,33099.0,7.0,2100.0,14700.0
22,,,,,,Bratislava - Lamač,Nechávame na uvážení okresu,6899.0,1.0,300.0,2100.0
23,Bratislava V,111021.0,22.0,6600.0,46200.0,,,,,,
24,,,,,,Bratislava - Petržalka,Nechávame na uvážení okresu,104914.0,22.0,6600.0,46200.0
25,Brezno,79828.0,15.0,4500.0,31500.0,,,,,,
26,,,,,,Brezno,"ZŠ s MŠ - Brezno, Pionierska",21534.0,6.0,1800.0,12600.0
27,,,,,,Skalica,"ZŠ - Skalica, Vajanského",14714.0,4.0,1200.0,8400.0
28,,,,,,Skalica,"ZŠ - Skalica, Vajanského",14714.0,4.0,1200.0,8400.0
29,,,,,,Čierny Balog,"ZŠ - Čierny Balog, Jánošovka, Školská",5206.0,1.0,300.0,2100.0
30,Bytča,34615.0,7.0,2100.0,14700.0,,,,,,
31,,,,,,Bytča,"ZŠ - Bytča,  mieru",11293.0,7.0,2100.0,14700.0
32,Bánovce nad Bebravou,38891.0,8.0,2400.0,16800.0,,,,,,
33,,,,,,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Partizánska",19133.0,8.0,2400.0,16800.0
34,Detva,68586.0,13.0,3900.0,27300.0,,,,,,
35,,,,,,Detva,"ZŠ - Detva,  Obrancov mieru",15024.0,2.0,600.0,4200.0
36,,,,,,Hriňová,"ZŠ s MŠ - Hriňová, Školská",7696.0,1.0,300.0,2100.0
37,,,,,,Komárno,"Gym. H.S. s VJM - Komárno, B.Királya",34561.0,5.0,1500.0,10500.0
38,,,,,,Komárno,"Gym. H.S. s VJM - Komárno, B.Királya",34561.0,5.0,1500.0,10500.0
39,Dolný Kubín,41195.0,8.0,2400.0,16800.0,,,,,,
40,,,,,,Dolný Kubín,"ZŠ - D.Kubín, Kohútov sad",19424.0,8.0,2400.0,16800.0
41,Dunajská Streda,116542.0,24.0,7200.0,50400.0,,,,,,
42,,,,,,Dunajská Streda,"ZŠ s VJM - D.Streda, Školská ",22481.0,11.0,3300.0,23100.0
43,,,,,,Gabčíkovo,"ZŠ s VJM - Gabčíkovo, Komenského",5371.0,3.0,900.0,6300.0
44,,,,,,Veľký Meder,"ZŠ s VJM - Veľký Meder, Bratislavská",8828.0,4.0,1200.0,8400.0
45,,,,,,Šamorín,"ZŠ M.Bela - Šamorín, Kláštorná",12992.0,6.0,1800.0,12600.0
46,Galanta,93748.0,19.0,5700.0,39900.0,,,,,,
47,,,,,,Galanta,"ZŠ - Galanta, Štvrť SNP",15063.0,8.0,2400.0,16800.0
48,,,,,,Sereď,"ZŠ - Sereď,  Fándlyho 763/7A",16106.0,8.0,2400.0,16800.0
49,,,,,,Sládkovičovo,"ZŠ s MŠ ako o.z. Spoj.š - Sládkovičovo, Školská",5365.0,3.0,900.0,6300.0
50,Gelnica,31373.0,6.0,1800.0,12600.0,,,,,,
51,,,,,,Gelnica,"ZŠ - Gelnica, Hlavná",6210.0,6.0,1800.0,12600.0
52,Hlohovec,45248.0,9.0,2700.0,18900.0,,,,,,
53,,,,,,Hlohovec,"ZŠ - Hlohovec, Podzámska",22441.0,9.0,2700.0,18900.0
54,Humenné,73765.0,15.0,4500.0,31500.0,,,,,,
55,,,,,,Humenné,"ZŠ - Humenné, Štefánikova",34455.0,15.0,4500.0,31500.0
56,Ilava,56682.0,11.0,3300.0,23100.0,,,,,,
57,,,,,,Dubnica nad Váhom,"ZŠ s MŠ - Dubnica n.V., Centrum I",24975.0,7.0,2100.0,14700.0
58,,,,,,Ilava,"ZŠ - Ilava, Medňanská",5483.0,1.0,300.0,2100.0
59,,,,,,Nová Dubnica,"ZŠ - N.Dubnica, Janka Kráľa",11331.0,3.0,900.0,6300.0
60,Kežmarok,74775.0,15.0,4500.0,31500.0,,,,,,
61,,,,,,Kežmarok,"ZŠ - Kežmarok, Dr.Daniela Fischera",16693.0,9.0,2700.0,18900.0
62,,,,,,Lendak,"SŠ - ZŠ - Lendak, Školská",5135.0,3.0,900.0,6300.0
63,,,,,,Spišská Belá,"ZŠ J.M.P. - Spiš.Belá, Moskovská",6503.0,3.0,900.0,6300.0
64,Komárno,106976.0,22.0,6600.0,46200.0,,,,,,
65,,,,,,Hurbanovo,"ZŠ - Hurbanovo, Nám.Konkolyho-Thege",7656.0,7.0,2100.0,14700.0
66,,,,,,Kolárovo,"ZŠ M.Korvína s VJM - Kolárovo, Školská",10665.0,10.0,3000.0,21000.0
67,,,,,,Nesvady,"ZŠ - Nesvady, Komenského",5090.0,5.0,1500.0,10500.0
68,Košice I,47819.0,9.0,2700.0,18900.0,,,,,,
69,,,,,,Košice - Staré Mesto,Nechávame na uvážení okresu,20391.0,4.0,1200.0,8400.0
70,,,,,,Košice - Sídlisko Ťahanovce,Nechávame na uvážení okresu,23047.0,5.0,1500.0,10500.0
71,Košice II,73288.0,14.0,4200.0,29400.0,,,,,,
72,,,,,,Košice - Luník IX,Nechávame na uvážení okresu,6193.0,1.0,300.0,2100.0
73,,,,,,Košice - Sídlisko KVP,Nechávame na uvážení okresu,24858.0,5.0,1500.0,10500.0
74,,,,,,Košice - Západ,Nechávame na uvážení okresu,40567.0,8.0,2400.0,16800.0
75,Košice-okolie,124515.0,25.0,7500.0,52500.0,,,,,,
76,,,,,,Moldava nad Bodvou,"ZŠ - Moldava n.B., Čsl.armády",11186.0,17.0,5100.0,35700.0
77,,,,,,Čaňa,"ZŠ - Čaňa, Pionierska",5642.0,8.0,2400.0,16800.0
78,Krupina,27903.0,6.0,1800.0,12600.0,,,,,,
79,,,,,,Krupina,"ZŠ - Krupina, Školská",8010.0,6.0,1800.0,12600.0
80,Kysucké Nové Mesto,29620.0,6.0,1800.0,12600.0,,,,,,
81,,,,,,Kysucké Nové Mesto,"SPŠ inf. technológií - Kysucké N.M., Nábrežná",15551.0,6.0,1800.0,12600.0
82,Levice,110275.0,22.0,6600.0,46200.0,,,,,,
83,,,,,,Levice,"ZŠ - Levice, Pri Podlužianke",34226.0,18.0,5400.0,37800.0
84,,,,,,Želiezovce,"ZŠ - Želiezovce, Mierová",7115.0,4.0,1200.0,8400.0
85,Levoča,38131.0,8.0,2400.0,16800.0,,,,,,
86,,,,,,Levoča,"ZŠ - Levoča, Gašpara Haina",14827.0,8.0,2400.0,16800.0
87,Liptovský Mikuláš,78298.0,16.0,4800.0,33600.0,,,,,,
88,,,,,,Liptovský Hrádok,"ZŠ s MŠ - Lipt.Hrádok, Hradná",7608.0,3.0,900.0,6300.0
89,,,,,,Liptovský Mikuláš,"ZŠ - Lipt.Mikuláš, Nábr.4.apríla",31772.0,13.0,3900.0,27300.0
90,Lučenec,74345.0,15.0,4500.0,31500.0,,,,,,
91,,,,,,Fiľakovo,"ZŠ Š. K. II - Fiľakovo, Mládežnícka",10772.0,4.0,1200.0,8400.0
92,,,,,,Lučenec,"SOŠ hotel. sl a dopravy - Lučenec, Zvolenská c.",28335.0,11.0,3300.0,23100.0
93,Malacky,67098.0,13.0,3900.0,27300.0,,,,,,
94,,,,,,Malacky,"ZŠ - Malacky, Gen.M.R.Štefánika",17087.0,8.0,2400.0,16800.0
95,,,,,,Stupava,"ZŠ - Stupava, Školská",9944.0,5.0,1500.0,10500.0
96,Martin,101300.0,20.0,6000.0,42000.0,,,,,,
97,,,,,,Martin,"ZŠ s MŠ - Martin, Hurbanova",56526.0,18.0,5400.0,37800.0
98,,,,,,Vrútky,"ZŠ - Vrútky, Čachovský rad",7664.0,2.0,600.0,4200.0
99,Medzilaborce,12124.0,2.0,600.0,4200.0,,,,,,
