,village,school,num_students
0,Abovce,ZŠ s MŠ - Abovce,34.0
1,Abovce,Materská škola pri ZŠ - Abovce,14.0
2,Abrahám,"Materská škola - Abrahám, Hviezdoslavova",39.0
3,Abrahám,"ZŠ - Abrahám, Školská",130.0
4,Abrahámovce,Materská škola - Abrahámovce,10.0
5,Abrahámovce,ZŠ - Abrahámovce,11.0
6,Abrahámovce,Materská škola - Abrahámovce,10.0
7,Abrahámovce,ZŠ - Abrahámovce,11.0
8,Abranovce,Materská škola - Abranovce,20.0
9,Abranovce,ZŠ - Abranovce,35.0
10,Adamovské Kochanovce,Materská škola - Adamovské Kochanovce,39.0
11,Alekšince,EP Materská šk. pri ZŠ - Alekšince,41.0
12,Alekšince,ZŠ s MŠ - Alekšince,157.0
13,Andovce,Materská škola - Óvoda - Andovce,24.0
14,Arnutovce,Materská škola - Arnutovce,19.0
15,Báb,ZŠ - Báb,103.0
16,Báb,Materská škola - Báb,38.0
17,Babie,Materská škola - Babie,12.0
18,Babín,EP pri ZŠ s MŠ - MŠ - Babín,39.0
19,Babín,ZŠ s MŠ - Babín,144.0
20,Babiná,"Materská škola - Babiná, Dolná",17.0
21,Babindol,Materská škola - Babindol,36.0
22,Bacúch,"Materská škola - Bacúch, Hlavná",13.0
23,Bacúch,"ZŠ - Bacúch, Hlavná",14.0
24,Báč,Materská škola s VJM - Báč,22.0
25,Bačka,"Materská škola s VJM - Bačka, Školská",13.0
26,Bačka,"ZŠ s VJM - Bačka, Školská",16.0
27,Bačkov,"Materská škola - Bačkov, Lesná",15.0
28,Bačkov,"ZŠ - Bačkov, Lesná",44.0
29,Bačkov,"Špec. ZŠ pri RC - Bačkov, Školská",35.0
30,Bačkov,"EP - SŠ - SOŠ - Bačkov, Lesná",
31,Bačkovík,Materská škola - Bačkovík,16.0
32,Bačkovík,ZŠ - Bačkovík,42.0
33,Badín,"EP - ZŠ s MŠ - Badín, Sládkovičova",50.0
34,Badín,"ZŠ s MŠ - Badín, Tajovského",287.0
35,Báhoň,"EP-MŠ pri ZŠ - Báhoň,  1.mája",57.0
36,Báhoň,"ZŠ s MŠ - Báhoň,  1.mája",295.0
37,Bajany,Materská škola - Bajany,16.0
38,Bajč,Materská škola - Bajč,18.0
39,Bajč,ZŠ - Bajč,12.0
40,Bajerov,Materská škola pri ZŠ - Bajerov,14.0
41,Bajerov,ZŠ s MŠ - Bajerov,139.0
42,Bajka,Materská škola - Bajka,13.0
43,Bajtava,"MŠ s VJM - Óvoda - Bajtava, Hlavná",6.0
44,Baka,Materská škola s VJM - Baka,20.0
45,Balog nad Ipľom,"ZŠ s VJM - Balog nad Ipľom, Hlavná",116.0
46,Balog nad Ipľom,"Materská škola s VJM - Balog nad Ipľom, Športová",27.0
47,Baloň,Materská škola s VJM - Baloň,21.0
48,Banka,"ZŠ s MŠ - Banka, Bananská",166.0
49,Banka,"ZŠ s MŠ - predprimárne - Banka, Bananská",47.0
50,Bánov,"ZŠ s MŠ - Bánov, kpt.Nálepku",216.0
51,Bánov,"EP Materská škola - Bánov,  Jozefa Hralu",89.0
52,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., 5.apríla",99.0
53,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., 9.mája",68.0
54,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Duklianska",521.0
55,Bánovce nad Bebravou,"SOŠ s - Bánovce n.B., Partizánska c.",315.0
56,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Gorazdova",416.0
57,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., Hollého",133.0
58,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., J.A.Komenského",264.0
59,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., J.A.Komenského",125.0
60,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., J.C.Hronského",98.0
61,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., m.č.Horné Ozorovce",20.0
62,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Partizánska",594.0
63,Bánovce nad Bebravou,"Špec. ZŠ - Bánovce n.B., Radlinského",92.0
64,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., Radlinského",102.0
65,Bánovce nad Bebravou,"Gym. J. Jesenského - Bánovce n.B., Radlinského",373.0
66,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Školská",301.0
67,Bánovce nad Bebravou,"Súkr. MŠ Wonderland - Bánovce n.B., Farská",35.0
68,Bánovce nad Bebravou,"Cirk. SOŠ sv. Terézie z - Bánovce n.B., Farská",15.0
69,Bánovce nad Ondavou,Materská škola - Bánovce nad Ondavou,20.0
70,Banská Belá,ZŠ s MŠ - B.Belá,97.0
71,Banská Belá,EP - ZŠ s MŠ - B.Belá,45.0
72,Banská Bystrica,"Materská škola - B.Bystrica, 9.mája",45.0
73,Banská Bystrica,"Materská škola - B.Bystrica, Buková",44.0
74,Banská Bystrica,"Materská škola - B.Bystrica, c.k nemocnici",83.0
75,Banská Bystrica,"Súkr.OA - B.Bystrica, Dolná",
76,Banská Bystrica,"Materská škola - B.Bystrica, Družby",131.0
77,Banská Bystrica,"PrŠ pri ŠZŠ - B.Bystrica, Ďumbierska",8.0
78,Banská Bystrica,"Špec.ZŠ - B.Bystrica, Ďumbierska",92.0
79,Banská Bystrica,"ZŠ - B.Bystrica, Ďumbierska",594.0
80,Banská Bystrica,"ZŠ J.G.T. - B.Bystrica, Gaštanová",320.0
81,Banská Bystrica,"ZŠ - B.Bystrica, Golianova",742.0
82,Banská Bystrica,"Materská škola - B.Bystrica, Horná",46.0
83,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Lazovná",30.0
84,Banská Bystrica,"SPŠ J .M. - B.Bystrica, Hurbanova",633.0
85,Banská Bystrica,"Katolícke gym. Š.M - B.Bystrica, Hurbanova",326.0
86,Banská Bystrica,"Gym. A.S. - B.Bystrica, J.A Komenského",443.0
87,Banská Bystrica,"SZŠ - B.Bystrica, J.G.Tajovského",523.0
88,Banská Bystrica,"Gym.  J.G.T. - B.Bystrica, J.G.Tajovského",732.0
89,Banská Bystrica,"OA - B.Bystrica, J.G.Tajovského",319.0
90,Banská Bystrica,"SOŠ infor. technológií - B.Bystrica, Tajovského",559.0
91,Banská Bystrica,"Materská škola - B.Bystrica, Jakubská c.",36.0
92,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Ružová",197.0
93,Banská Bystrica,"Materská škola - B.Bystrica, Karpatská",103.0
94,Banská Bystrica,"SŠ - SOŠ st. - B.Bystrica, Kremnička",
95,Banská Bystrica,"SŠ - SPŠ s. - B.Bystrica, Kremnička",
96,Banská Bystrica,"Materská škola - B.Bystrica, Kremnička",28.0
97,Banská Bystrica,"Materská škola - B.Bystrica, Lazovná",77.0
98,Banská Bystrica,"Materská škola - B.Bystrica, Magurská",83.0
99,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Mládežnícka",167.0
100,Banská Bystrica,"Gym. M.K. - B.Bystrica, Mládežnícka",303.0
101,Banská Bystrica,"ZŠ - B.Bystrica, Moskovská",576.0
102,Banská Bystrica,"Materská škola - B.Bystrica, Na Lúčkach",109.0
103,Banská Bystrica,"Materská škola - B.Bystrica, Na Starej tehelni",75.0
104,Banská Bystrica,"Súkr.materská škola - B.Bystrica, Nad plážou",53.0
105,Banská Bystrica,"ZŠ pri zdrav. zar. - B.Bystrica, Nám.L.Svobodu",54.0
106,Banská Bystrica,"ZŠ s MŠ Š.M - B.Bystrica, Nám.Š.Moysesa",236.0
107,Banská Bystrica,"Materská škola - B.Bystrica, Nová",114.0
108,Banská Bystrica,"Materská škola - B.Bystrica, Odbojárov",30.0
109,Banská Bystrica,"ZŠ - B.Bystrica, Okružná",370.0
110,Banská Bystrica,"Materská škola - B.Bystrica, Petra Jilemnického",77.0
111,Banská Bystrica,"ZŠ - B.Bystrica, Pieninská",325.0
112,Banská Bystrica,"SOŠ - B.Bystrica, Pod Bánošom",313.0
113,Banská Bystrica,"Materská škola - B.Bystrica, Radvanská",99.0
114,Banská Bystrica,"Materská škola - B.Bystrica, Radvanská",121.0
115,Banská Bystrica,"Materská škola - B.Bystrica, Sásovská c.",79.0
116,Banská Bystrica,"Materská škola - B.Bystrica, Senická c.",19.0
117,Banská Bystrica,"ZŠ - B.Bystrica, Sitnianska",450.0
118,Banská Bystrica,"Konz. J.L.B. - B.Bystrica, Skuteckého",223.0
119,Banská Bystrica,"Ev. gym. - B.Bystrica, Skuteckého",319.0
120,Banská Bystrica,"ZŠ SSV - B.Bystrica, Skuteckého",464.0
121,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Mládežnícka",119.0
122,Banská Bystrica,"ZŠ - B.Bystrica, Spojová",815.0
123,Banská Bystrica,"Materská škola - B.Bystrica, Strážovská",102.0
124,Banská Bystrica,"Materská škola - B.Bystrica, Šalgotarjánska",119.0
125,Banská Bystrica,"SOŠ hotel.sl. a obchodu - B.Bystrica, Školská",366.0
126,Banská Bystrica,"SŠ - SOŠ pod - B.Bystrica, Školská",
127,Banská Bystrica,"SŠ - SOŠ aut - B.Bystrica, Školská",
128,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Tajovského",59.0
129,Banská Bystrica,"Materská škola - B.Bystrica, Tatranská",128.0
130,Banská Bystrica,"ZŠ - B.Bystrica, Trieda SNP",415.0
131,Banská Bystrica,"Stredná športová škola - B.Bystrica, Trieda SNP",482.0
132,Banská Bystrica,"Materská škola - B.Bystrica, Trieda SNP",21.0
133,Banská Bystrica,"Materská škola - B.Bystrica, Tulská",104.0
134,Banská Bystrica,"Materská škola - B.Bystrica, 29.augusta",99.0
135,Banská Bystrica,"EP - ZŠ s MŠ Š. M. - B.Bystrica, Tibora Andrašovana",24.0
136,Banská Bystrica,"Súkr. gym. BB - B.Bystrica, Ružová  15/A",102.0
137,Banská Bystrica,"SŠ - SOŠ el. - B.Bystrica, Zvolenská c.",
138,Banská Bystrica,"Materská škola - B.Bystrica, Hronská",20.0
139,Banská Bystrica,"Materská škola - B.Bystrica, prof.Sáru",86.0
140,Banská Bystrica,"OU int. - B.Bystrica, Moskovská",98.0
141,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Tatranská",37.0
142,Banská Bystrica,"EP - Súkr. MŠ - B.Bystrica, Nám.SNP",
143,Banská Bystrica,"EP - Súkr. MŠ - B.Bystrica, Trieda SNP",
144,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Rakytovská c.",40.0
145,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Lazovná ",179.0
146,Banská Bystrica,"EP - SŠ (SOŠ stavebná) - B.Bystrica, Sládkovičova",
147,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Severná",19.0
